# TYPE=TEMP
#An_date= 20180915
#An_time= 06
#An_range=] 3  to  9 ]
#StatusFlag: 0(Used);1(Not Used);2(Rejected by DA);3(Never Used by DA);4(Data Thinned);5(Rejected before DA);6(Alternative Used);7(Quality Issue);8(Other Reason);9(No content)
#Station_id,yyyymmdd,HHMMSS,latitude,Longitude,StatusFlag,Centre_id,var_id,Mean_Bg_dep,Std_Bg_dep,Levels,LastRepLevel,CodeType
02963,20180915,053005,60.81462,23.49871,0,ECMF,3,-0.0019,1.4553,Trop,25.7,109
02963,20180915,053005,60.81462,23.49871,0,ECMF,3,0.1318,2.3959,Stra,25.7,109
02963,20180915,053005,60.81462,23.49871,0,ECMF,4,0.0718,1.4690,Trop,25.7,109
02963,20180915,053005,60.81462,23.49871,0,ECMF,4,-0.1533,1.9957,Stra,25.7,109
03918,20180915,051504,54.50297,-6.34312,0,ECMF,2,-0.2100,0.7153,Trop,19.0,109
03918,20180915,051504,54.50297,-6.34312,0,ECMF,2,0.6499,0.8620,Stra,19.0,109
03918,20180915,051504,54.50297,-6.34312,0,ECMF,29,-0.0062,0.1647,Trop,19.0,109
03918,20180915,051504,54.50297,-6.34312,5,ECMF,29,0.0012,0.0022,Stra,19.0,109
03918,20180915,051504,54.50297,-6.34312,0,ECMF,3,0.5132,2.5428,Trop,19.0,109
03918,20180915,051504,54.50297,-6.34312,0,ECMF,3,-0.2804,2.6003,Stra,19.0,109
03918,20180915,051504,54.50297,-6.34312,0,ECMF,4,0.8538,2.4886,Trop,19.0,109
03918,20180915,051504,54.50297,-6.34312,0,ECMF,4,0.2515,2.7379,Stra,19.0,109
04018,20180915,050234,63.96869,-22.61412,0,ECMF,2,0.0164,0.6174,Trop,36.5,109
04018,20180915,050234,63.96869,-22.61412,0,ECMF,2,0.3469,0.4417,Stra,36.5,109
04018,20180915,050234,63.96869,-22.61412,0,ECMF,29,-0.0032,0.0883,Trop,36.5,109
04018,20180915,050234,63.96869,-22.61412,5,ECMF,29,0.0052,0.0010,Stra,36.5,109
04018,20180915,050234,63.96869,-22.61412,0,ECMF,3,-0.4948,1.5928,Trop,36.5,109
04018,20180915,050234,63.96869,-22.61412,0,ECMF,3,0.6175,1.3817,Stra,36.5,109
04018,20180915,050234,63.96869,-22.61412,0,ECMF,4,0.5138,1.2785,Trop,36.5,109
04018,20180915,050234,63.96869,-22.61412,0,ECMF,4,-0.0629,1.6301,Stra,36.5,109
10035,20180915,044754,54.52708,9.54874,0,ECMF,2,0.1870,0.7930,Trop,17.4,109
10035,20180915,044754,54.52708,9.54874,0,ECMF,2,0.4996,0.7006,Stra,17.4,109
10035,20180915,044754,54.52708,9.54874,0,ECMF,29,-0.0402,0.1172,Trop,17.4,109
10035,20180915,044754,54.52708,9.54874,5,ECMF,29,0.0033,0.0022,Stra,17.4,109
10035,20180915,044754,54.52708,9.54874,0,ECMF,3,0.8488,2.2406,Trop,17.4,109
10035,20180915,044754,54.52708,9.54874,0,ECMF,3,-0.1531,2.0275,Stra,17.4,109
10035,20180915,044754,54.52708,9.54874,0,ECMF,4,-0.4642,1.5930,Trop,17.4,109
10035,20180915,044754,54.52708,9.54874,0,ECMF,4,0.0172,2.1759,Stra,17.4,109
10238,20180915,044812,52.81520,9.92470,0,ECMF,2,0.0540,0.5165,Trop,5.6,109
10238,20180915,044812,52.81520,9.92470,0,ECMF,2,0.3606,0.7374,Stra,5.6,109
10238,20180915,044812,52.81520,9.92470,0,ECMF,29,0.0020,0.0592,Trop,5.6,109
10238,20180915,044812,52.81520,9.92470,5,ECMF,29,0.0014,0.0032,Stra,5.6,109
10238,20180915,044812,52.81520,9.92470,0,ECMF,3,0.5427,1.6952,Trop,5.6,109
10238,20180915,044812,52.81520,9.92470,0,ECMF,3,0.1082,2.1344,Stra,5.6,109
10238,20180915,044812,52.81520,9.92470,0,ECMF,4,-0.0693,1.4262,Trop,5.6,109
10238,20180915,044812,52.81520,9.92470,0,ECMF,4,-0.4420,1.9310,Stra,5.6,109
10393,20180915,045355,52.20965,14.11996,0,ECMF,2,-0.0192,0.5606,Trop,6.5,109
10393,20180915,045355,52.20965,14.11996,0,ECMF,2,0.3230,0.7614,Stra,6.5,109
10393,20180915,045355,52.20965,14.11996,0,ECMF,29,0.0137,0.0920,Trop,6.5,109
10393,20180915,045355,52.20965,14.11996,5,ECMF,29,0.0032,0.0032,Stra,6.5,109
10393,20180915,045355,52.20965,14.11996,0,ECMF,3,0.6767,1.9023,Trop,6.5,109
10393,20180915,045355,52.20965,14.11996,0,ECMF,3,-0.1062,2.4805,Stra,6.5,109
10393,20180915,045355,52.20965,14.11996,0,ECMF,4,-0.7461,2.7860,Trop,6.5,109
10393,20180915,045355,52.20965,14.11996,0,ECMF,4,-0.1787,2.3465,Stra,6.5,109
10618,20180915,044651,49.69270,7.32630,0,ECMF,2,0.0089,0.6575,Trop,6.7,109
10618,20180915,044651,49.69270,7.32630,0,ECMF,2,0.3255,0.8996,Stra,6.7,109
10618,20180915,044651,49.69270,7.32630,0,ECMF,29,-0.0056,0.1029,Trop,6.7,109
10618,20180915,044651,49.69270,7.32630,5,ECMF,29,-0.0012,0.0039,Stra,6.7,109
10618,20180915,044651,49.69270,7.32630,0,ECMF,3,0.3276,1.5069,Trop,6.7,109
10618,20180915,044651,49.69270,7.32630,0,ECMF,3,0.1663,2.6471,Stra,6.7,109
10618,20180915,044651,49.69270,7.32630,0,ECMF,4,-0.2201,1.3484,Trop,6.7,109
10618,20180915,044651,49.69270,7.32630,0,ECMF,4,-0.1564,3.0161,Stra,6.7,109
10771,20180915,044439,49.42830,11.90160,0,ECMF,2,0.0190,0.5587,Trop,5.8,109
10771,20180915,044439,49.42830,11.90160,0,ECMF,2,0.4819,0.7276,Stra,5.8,109
10771,20180915,044439,49.42830,11.90160,0,ECMF,29,-0.0166,0.0861,Trop,5.8,109
10771,20180915,044439,49.42830,11.90160,5,ECMF,29,-0.0021,0.0044,Stra,5.8,109
10771,20180915,044439,49.42830,11.90160,0,ECMF,3,0.0882,1.8689,Trop,5.8,109
10771,20180915,044439,49.42830,11.90160,0,ECMF,3,0.0249,2.1512,Stra,5.8,109
10771,20180915,044439,49.42830,11.90160,0,ECMF,4,-0.6234,1.7490,Trop,5.8,109
10771,20180915,044439,49.42830,11.90160,0,ECMF,4,-0.3136,2.0813,Stra,5.8,109
11010,20180915,030002,48.12539,14.85695,0,ECMF,2,0.5811,0.8402,Stra,17.1,109
11010,20180915,030002,48.12539,14.85695,5,ECMF,29,-0.0015,0.0022,Stra,17.1,109
11010,20180915,030002,48.12539,14.85695,0,ECMF,3,0.0188,2.8841,Stra,17.1,109
11010,20180915,030002,48.12539,14.85695,0,ECMF,4,-0.7718,2.7205,Stra,17.1,109
11120,20180915,030001,47.20101,11.72353,0,ECMF,2,0.0926,0.6590,Trop,13.9,109
11120,20180915,030001,47.20101,11.72353,0,ECMF,2,0.5467,0.7316,Stra,13.9,109
11120,20180915,030001,47.20101,11.72353,0,ECMF,29,-0.0511,0.0467,Trop,13.9,109
11120,20180915,030001,47.20101,11.72353,5,ECMF,29,-0.0016,0.0046,Stra,13.9,109
11120,20180915,030001,47.20101,11.72353,0,ECMF,3,-0.1819,1.6429,Trop,13.9,109
11120,20180915,030001,47.20101,11.72353,0,ECMF,3,0.0108,2.4802,Stra,13.9,109
11120,20180915,030001,47.20101,11.72353,0,ECMF,4,-0.5177,1.5354,Trop,13.9,109
11120,20180915,030001,47.20101,11.72353,0,ECMF,4,-0.3171,2.4526,Stra,13.9,109
11240,20180915,030001,46.79658,15.87968,0,ECMF,2,-0.0110,0.4286,Trop,57.6,109
11240,20180915,030001,46.79658,15.87968,0,ECMF,2,0.8881,0.6081,Stra,57.6,109
11240,20180915,030001,46.79658,15.87968,0,ECMF,29,-0.0221,0.0106,Trop,57.6,109
11240,20180915,030001,46.79658,15.87968,5,ECMF,29,-0.0063,0.0034,Stra,57.6,109
11240,20180915,030001,46.79658,15.87968,0,ECMF,3,0.3767,1.6270,Trop,57.6,109
11240,20180915,030001,46.79658,15.87968,0,ECMF,3,-0.6379,1.6593,Stra,57.6,109
11240,20180915,030001,46.79658,15.87968,0,ECMF,4,0.0012,1.3217,Trop,57.6,109
11240,20180915,030001,46.79658,15.87968,0,ECMF,4,-0.2548,1.8925,Stra,57.6,109
11520,20180915,053047,50.00780,14.44690,0,ECMF,2,0.0522,0.5551,Trop,6.6,109
11520,20180915,053047,50.00780,14.44690,0,ECMF,2,0.4340,0.7253,Stra,6.6,109
11520,20180915,053047,50.00780,14.44690,0,ECMF,29,0.0194,0.1489,Trop,6.6,109
11520,20180915,053047,50.00780,14.44690,5,ECMF,29,-0.0004,0.0039,Stra,6.6,109
11520,20180915,053047,50.00780,14.44690,0,ECMF,3,-0.1650,2.3983,Trop,6.6,109
11520,20180915,053047,50.00780,14.44690,0,ECMF,3,0.2494,2.3806,Stra,6.6,109
11520,20180915,053047,50.00780,14.44690,0,ECMF,4,-1.0274,2.3816,Trop,6.6,109
11520,20180915,053047,50.00780,14.44690,0,ECMF,4,0.0832,2.1944,Stra,6.6,109
14015,20180915,043525,46.06500,14.51200,0,ECMF,2,0.0482,0.5543,Trop,80.1,109
14015,20180915,043525,46.06500,14.51200,0,ECMF,2,1.0374,1.1971,Stra,80.1,109
14015,20180915,043525,46.06500,14.51200,0,ECMF,29,0.0498,0.1031,Trop,80.1,109
14015,20180915,043525,46.06500,14.51200,5,ECMF,29,-0.0040,0.0050,Stra,80.1,109
14015,20180915,043525,46.06500,14.51200,0,ECMF,3,0.0068,2.4031,Trop,80.1,109
